family,is_seed,product_kind,product_id,product_name,quality,spell_id,spell_name,craft_kind,profession,learned_at,difficulty,yield,station,method,recipe_item,reagents,effect
food,1,item,967573,Fused Wizard Wontons,3,968343,Fused Wizard Wontons,recipe,Cooking,300,300/310/312/315,10,Cooking Fire,,Recipe: Fused Wizard Wontons,1x Salted Naga Tail; 1x Cured Savage Meat; 2x Turtle Meat,Use: Restores 2148 health over 30 sec.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become well fed and gain 10 Spellpower and 15 Intellect. Lasts for 1 hr
material,0,item,1303754,Abomination Hook,3,1979724,Refine Abomination Hook,recipe,,,,1,,,,5x Shattered Abomination Hook,Use: Refined into Cleansed Plague Iron at the Blessed Forge. Requires High-Risk.
material,0,item,1303742,Ancient Tear,3,1979710,Refine Ancient Tear,recipe,,,,1,,,,5x Spectral Teardrops,Use: Water an Ancient Elven Grave to cultivate a Spectral Rose. Requires High-Risk.
material,0,item,1303736,Animated Bone,3,1979694,Refine Animated Bone,recipe,,,,1,,,,5x Animated Knuckle Bones,Use: Refined into Animated Bone Dust at the Altar of Bones. Requires High-Risk.
material,0,item,1303709,Animated Bone Dust,3,1979732,Refine Animated Bone Dust,conversion,,,,1,Altar of Bones. Requires High-Risk,Refined into Animated Bone Dust at the Altar of Bones. Requires High-Risk.,,1x Animated Bone,
material,0,item,1303739,Arkkoran Chum,3,1979729,Refine Arkorran Chum,recipe,,,,1,,,,5x Arkoran Guts,Use: Feed to a Carnivorous Clam to collect its Storm Brine. Requires High-Risk.
material,0,item,1303711,Blightroot Extract,3,1979755,Refine Blightroot Exract,conversion,,,,1,Sanguine Workbench,Refined into Blightroot Exract at the Sanguine Workbench,,1x Blightroot,
material,0,item,1303720,Cured Savage Meat,3,1979757,Refine Cured Savage Meat,conversion,,,,1,Sanguine Workbench,Refined into Cured Savage Meat at the Sanguine Workbench,,1x Raw Savage Flesh,
material,0,item,1303753,Drakesteel Scraps,3,1979715,Refine Drakesteel Scraps,recipe,,,,1,,,,5x Impure Drakesteel Scraps,Use: Refined into Ebon Dragonsteel at the Thaurissan War Forge. Requires High-Risk.
material,0,item,1303726,Ebon Dragonsteel,3,1979742,Refine Ebon Dragonsteel,conversion,,,,1,Thaurissan War Forge. Requires High-Risk,Refined into Ebon Dragonsteel at the Thaurissan War Forge. Requires High-Risk.,,1x Drakesteel Scraps,
material,0,item,1303710,Essence of Twilight,3,1979743,Refine Essence of Twilight,conversion,,,,1,Unearthed Ancient Altar. Requires High-Risk,Refined into Essence of Twilight at the Unearthed Ancient Altar. Requires High-Risk.,,1x Void Idol,
material,0,item,1303740,Fatty Blubber,3,1979722,Refine Fatty Blubber,recipe,,,,1,,,,5x Stringy Blubber,Use: Fertilize a Lava Bloom to collect its Fiery Frond. Requires High-Risk.
material,0,item,1303713,Fiery Frond,3,1979747,Refine Lava Frond,conversion,,,,1,,Fertilize a Lava Bloom to collect its Fiery Frond. Requires High-Risk.,,1x Fatty Blubber,
material,0,item,1303755,Frozen Frostmaul Heart,3,1979731,Refine Frozen Frostmaul Heart,recipe,,,,1,,,,5x Broken Frostmaul Heart,Use: Refined into Wintersteel at the Forge of Ice. Requires High-Risk.
material,0,item,1303708,Hell Dust,3,1979746,Refine Hell Dust,conversion,,,,1,Hellish Altar. Requires High-Risk,Refined into Hell Dust at the Hellish Altar. Requires High-Risk.,,1x Hell Effigy,
material,0,item,1303735,Hell Effigy,3,1979720,Refine Hell Effigy,recipe,,,,1,,,,5x Hellish Trinket,Use: Refined into Hell Dust at the Hellish Altar. Requires High-Risk.
material,0,item,1303725,Homicite Bar,3,1979758,Refine Homicite Bar,conversion,,,,1,Sanguine Workbench,Refined into Homicite Bar at the Sanguine Workbench,,1x Homicite Ore,
material,0,item,1303714,Plague Blossom,3,1979749,Refine Plague Blossom,conversion,,,,1,,Feed to a Ravenous Scourgethorn to collect a Plague Blossom. Requires High-Risk.,,1x Scarlet Human Flesh,
material,0,item,1303727,Plague Iron,3,1979748,Refine Plague Iron,conversion,,,,1,Blessed Forge. Requires High-Risk,Refined into Cleansed Plague Iron at the Blessed Forge. Requires High-Risk.,,1x Abomination Hook,
material,0,item,1303707,Profane Shard,3,1979754,Refine Profane Shard,recipe,,,,1,Sanguine Workbench,,,5x Echoes of Blood,
material,0,item,1303750,Raw Animated Meat,3,1979699,Refine Raw Animated Meat,recipe,,,,1,,,,5x Animated Meat Chunks,Use: Refined into Shadowcharred Animated Meat at the Shadowflame Cookfire. Requires High-Risk.
material,0,item,1303749,Raw Naga Tail,3,1979702,Refine Raw Naga Tail,recipe,,,,1,,,,5x Naga Tail Chunks,Use: Refined into Salted Naga Tail at the Altar of the Sea God. Requires High-Risk.
material,0,item,1303748,Raw Savage Chimaera Meat,3,1979704,Refine Raw Savage Chimaera Meat,recipe,,,,1,,,,5x Savage Chimaera Chunks,Use: Refined into Seared Savage Chimaera Meat at the Arcane Firepit. Requires High-Risk.
material,0,item,1303751,Raw Silithid Meat,3,1979708,Refine Raw Silithid Meat,recipe,,,,1,,,,5x Silithid Meat Chunks,Use: Refined into Scorched Silithid Meat at the Elementium Cookfire. Requires High-Risk.
material,0,item,1303722,Salted Naga Tail,3,1979737,Refine Salted Naga Tail,conversion,,,,1,Altar of the Sea God. Requires High-Risk,Refined into Salted Naga Tail at the Altar of the Sea God. Requires High-Risk.,,1x Raw Naga Tail,
material,0,item,1303741,Scarlet Human Flesh,3,1979726,Refine Scarlet Human Flesh,recipe,,,,1,,,,5x Scarlet Human Scraps,Use: Feed to a Ravenous Scourgethorn to collect a Plague Blossom. Requires High-Risk.
material,0,item,1303724,Scorched Silithid Meat,3,1979739,Refine Scorched Silithid Meat,conversion,,,,1,Elementium Cookfire. Requires High-Risk,Refined into Scorched Silithid Meat at the Elementium Cookfire. Requires High-Risk.,,1x Raw Silithid Meat,
material,0,item,1303721,Seared Savage Chimaera Meat,3,1979738,Refine Seared Savage Chimaera Meat,conversion,,,,1,Arcane Firepit. Requires High-Risk,Refined into Seared Savage Chimaera Meat at the Arcane Firepit. Requires High-Risk.,,1x Raw Savage Chimaera Meat,
material,0,item,1303723,Shadowcharred Animated Meat,3,1979736,Refine Shadowcharred Animated Meat,conversion,,,,1,Shadowflame Cookfire. Requires High-Risk,Refined into Shadowcharred Animated Meat at the Shadowflame Cookfire. Requires High-Risk.,,1x Raw Animated Meat,
material,0,item,1303715,Spectral Rose,3,1979740,Refine Dark Rose,conversion,,,,1,,Water an Ancient Elven Grave to cultivate a Spectral Rose. Requires High-Risk.,,1x Ancient Tear,
material,0,item,1303712,Storm Brine,3,1979750,Refine Storm Brine,conversion,,,,1,,Feed to a Carnivorous Clam to collect its Storm Brine. Requires High-Risk.,,1x Arkkoran Chum,
material,0,item,1303737,Void Idol,3,1979716,Refine Void Idol,recipe,,,,1,,,,5x Void Trinket,Use: Refined into Essence of Twilight at the Unearthed Ancient Altar. Requires High-Risk.
material,0,item,1303728,Wintersteel,3,1979752,Refine Wintersteel,conversion,,,,1,Forge of Ice. Requires High-Risk,Refined into Wintersteel at the Forge of Ice. Requires High-Risk.,,1x Frozen Frostmaul Heart,
